message_id,conversation_id,timestamp,sender_id,recipient_id,message_text,message_type,reply_to_message_id,attachment_id,source_provenance,source_original_line,transformation_id
ID-CTX-A-1321,KONV-CTX-DINI-0701-AIRPANAS,2026-07-01T06:11:11+07:00,AKT-DINI,AKT-RAKA,Kamu pakai air panas terakhir tadi?,text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-1322,KONV-CTX-DINI-0701-AIRPANAS,2026-07-01T06:14:34+07:00,AKT-RAKA,AKT-DINI,Aku isi termos setengah. Sisanya masih di pemanas.,text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-1323,KONV-CTX-DINI-0701-AIRPANAS,2026-07-01T06:19:05+07:00,AKT-DINI,AKT-RAKA,"Aku cuma mau buat teh, nggak butuh banyak.",text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-1324,KONV-CTX-DINI-0701-AIRPANAS,2026-07-01T06:21:28+07:00,AKT-RAKA,AKT-DINI,"Pakai saja, tapi cek lampunya dulu.",text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-1325,KONV-CTX-DINI-0701-AIRPANAS,2026-07-01T06:25:51+07:00,AKT-DINI,AKT-RAKA,Mati. Apa aku perlu nyalakan lagi?,text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-1326,KONV-CTX-DINI-0701-AIRPANAS,2026-07-01T06:26:22+07:00,AKT-RAKA,AKT-DINI,"Kalau airnya sudah hangat, nggak usah.",text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-1327,KONV-CTX-DINI-0701-AIRPANAS,2026-07-01T06:32:45+07:00,AKT-DINI,AKT-RAKA,Masih lumayan. Tehnya bakal agak pucat.,text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-1328,KONV-CTX-DINI-0701-AIRPANAS,2026-07-01T06:34:16+07:00,AKT-RAKA,AKT-DINI,"Tambah waktu seduh, bukan tambah daun banyak.",text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-1329,KONV-CTX-DINI-0701-AIRPANAS,2026-07-01T06:39:39+07:00,AKT-DINI,AKT-RAKA,Kamu tiba-tiba jadi ahli teh.,text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-1330,KONV-CTX-DINI-0701-AIRPANAS,2026-07-01T06:42:10+07:00,AKT-RAKA,AKT-DINI,Aku cuma nggak mau kamu protes terlalu pahit lagi.,text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-2101,KONV-CTX-DINI-0701-AIRPANAS,2026-07-01T06:46:10+07:00,AKT-DINI,AKT-RAKA,Tehnya jadi pucat 😂,text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-2102,KONV-CTX-DINI-0701-AIRPANAS,2026-07-01T06:48:41+07:00,AKT-RAKA,AKT-DINI,Masih diminum?,text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-2103,KONV-CTX-DINI-0701-AIRPANAS,2026-07-01T06:54:48+07:00,AKT-DINI,AKT-RAKA,Habis kok.,text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-0567,KONV-CTX-REZA-0701-PAYUNG,2026-07-01T07:18:13+07:00,AKT-REZA,AKT-RAKA,Payung biru yang di belakang jok masih ada nggak?,text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-0568,KONV-CTX-REZA-0701-PAYUNG,2026-07-01T07:20:30+07:00,AKT-RAKA,AKT-REZA,Tadi pagi kulihat. Kenapa?,text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-0569,KONV-CTX-REZA-0701-PAYUNG,2026-07-01T07:23:47+07:00,AKT-REZA,AKT-RAKA,Punyaku patah pas dibuka. Baru dua kali pakai.,text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-0570,KONV-CTX-REZA-0701-PAYUNG,2026-07-01T07:24:11+07:00,AKT-RAKA,AKT-REZA,"Yang biru itu gagangnya agak seret, tarik pelan.",text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-0571,KONV-CTX-REZA-0701-PAYUNG,2026-07-01T07:30:28+07:00,AKT-REZA,AKT-RAKA,Boleh kupinjam sampai sore? Aku keluar sebentar.,text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-0572,KONV-CTX-REZA-0701-PAYUNG,2026-07-01T07:34:45+07:00,AKT-RAKA,AKT-REZA,"Ambil aja, tapi jangan ditaruh di lantai mobil lagi.",text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-0573,KONV-CTX-REZA-0701-PAYUNG,2026-07-01T07:36:09+07:00,AKT-REZA,AKT-RAKA,"Itu sekali, dan gara-gara rem mendadak 😅",text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-0574,KONV-CTX-REZA-0701-PAYUNG,2026-07-01T07:41:26+07:00,AKT-RAKA,AKT-REZA,Sekali yang bekas lumpurnya seminggu.,text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-0575,KONV-CTX-REZA-0701-PAYUNG,2026-07-01T07:44:43+07:00,AKT-REZA,AKT-RAKA,"Oke, kutaruh di sisi pintu kalau selesai.",text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-0576,KONV-CTX-REZA-0701-PAYUNG,2026-07-01T07:51:07+07:00,AKT-RAKA,AKT-REZA,"Sip. Kalau hujan deras, pakai dulu sampai reda.",text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-2104,KONV-CTX-REZA-0701-PAYUNG,2026-07-01T07:55:07+07:00,AKT-REZA,AKT-RAKA,Hujannya belum turun.,text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-2105,KONV-CTX-REZA-0701-PAYUNG,2026-07-01T07:57:38+07:00,AKT-RAKA,AKT-REZA,"Bagus, tetap bawa.",text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-2191,KONV-CTX-DINI-0701-SENDOK,2026-07-01T08:02:00+07:00,AKT-DINI,AKT-RAKA,Sendok kecil ke mana?,text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-2106,KONV-CTX-REZA-0701-PAYUNG,2026-07-01T08:03:45+07:00,AKT-REZA,AKT-RAKA,"Iya, buat jaga-jaga.",text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-2192,KONV-CTX-DINI-0701-SENDOK,2026-07-01T08:04:31+07:00,AKT-RAKA,AKT-DINI,Yang gagangnya biru?,text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-2193,KONV-CTX-DINI-0701-SENDOK,2026-07-01T08:10:38+07:00,AKT-DINI,AKT-RAKA,"Iya, itu sendoknya.",text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-2194,KONV-CTX-DINI-0701-SENDOK,2026-07-01T08:12:12+07:00,AKT-RAKA,AKT-DINI,Coba laci kedua.,text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-2195,KONV-CTX-DINI-0701-SENDOK,2026-07-01T08:16:55+07:00,AKT-DINI,AKT-RAKA,Ketemu sendoknya.,text,,,SYNTHETIC_CONTEXT,,
ID-CTX-A-2196,KONV-CTX-DINI-0701-SENDOK,2026-07-01T08:25:36+07:00,AKT-DINI,AKT-RAKA,Nyelip di bawah serbet.,text,,,SYNTHETIC_CONTEXT,,
ID-BRG-0001,KONV-GAL-R024,2026-07-01T08:53:12+07:00,AKT-KIRANA,AKT-RAKA,Kamu sempat baca chatku semalam?,text,,,SYNTHETIC_BRIDGE,,
ID-BRG-0002,KONV-GAL-R024,2026-07-01T08:54:01+07:00,AKT-KIRANA,AKT-RAKA,Aku belum tahu harus mulai dari mana.,text,,,SYNTHETIC_BRIDGE,,
ID-BRG-1412,KONV-GAL-R024,2026-07-01T08:55:48+07:00,AKT-KIRANA,AKT-RAKA,jangan dulu sebentar.,text,,,SYNTHETIC_BRIDGE,,
ID-BRG-0003,KONV-GAL-R024,2026-07-01T08:57:36+07:00,AKT-RAKA,AKT-KIRANA,"Baru buka HP. Bentar, masih di jalan.",text,,,SYNTHETIC_BRIDGE,,
ID-GAL-0001,KONV-GAL-R024,2026-07-01T09:00:00+07:00,AKT-RAKA,AKT-KIRANA,"Gimana, ada apa?",text,,,ADAPTED_FROM_GALLOWAY,1,TR-GAL-ID-0001
ID-DST-0767,KONV-DST-NARA-B13-005,2026-07-01T09:00:09+07:00,AKT-NARA,AKT-RAKA,bungkus snack tadi lewat lagi.,text,,,SYNTHETIC_DISTRACTOR,,
ID-CTX-B-0042,KONV-CTX-MAYA-B14-015,2026-07-01T09:00:39+07:00,AKT-MAYA,AKT-RAKA,Botol minum yang tadi di dekat tasku kamu lihat?,text,,,SYNTHETIC_CONTEXT,,
ID-BRG-0004,KONV-GAL-R024,2026-07-01T09:01:06+07:00,AKT-KIRANA,AKT-RAKA,Aku bingung mau jawab yang mana dulu.,text,,,SYNTHETIC_BRIDGE,,
ID-GAL-0002,KONV-GAL-R024,2026-07-01T09:02:00+07:00,AKT-KIRANA,AKT-RAKA,"Oke, aku siap cari uang.",text,,,ADAPTED_FROM_GALLOWAY,2,TR-GAL-ID-0002
ID-BRG-0005,KONV-GAL-R024,2026-07-01T09:02:28+07:00,AKT-RAKA,AKT-KIRANA,"Ya sudah, pelan-pelan.",text,,,SYNTHETIC_BRIDGE,,
ID-GAL-0003,KONV-GAL-R024,2026-07-01T09:03:00+07:00,AKT-KIRANA,AKT-RAKA,"Aku udah muak begini terus, tapi tiap aku minta bantuan kamu atau Reza malah diabaikan. Tolong, Raka. Aku nggak peduli kalau seminggu nggak pakai apa-apa, aku janji nggak bakal bikin masalah.",text,,,ADAPTED_FROM_GALLOWAY,3,TR-GAL-ID-0003
ID-DST-0768,KONV-DST-NARA-B13-005,2026-07-01T09:03:20+07:00,AKT-RAKA,AKT-NARA,terus? ya.,text,,,SYNTHETIC_DISTRACTOR,,
ID-BRG-0006,KONV-GAL-R024,2026-07-01T09:04:17+07:00,AKT-KIRANA,AKT-RAKA,Aku nulis panjang karena tadi telepon nggak nyambung.,text,,,SYNTHETIC_BRIDGE,,
ID-CTX-B-0043,KONV-CTX-MAYA-B14-015,2026-07-01T09:04:48+07:00,AKT-RAKA,AKT-MAYA,Terakhir kulihat di samping tasmu. Belum dipindah kok.,text,,,SYNTHETIC_CONTEXT,,
ID-DST-0769,KONV-DST-NARA-B13-005,2026-07-01T09:06:31+07:00,AKT-NARA,AKT-RAKA,nggak ada terusnya ya.,text,,,SYNTHETIC_DISTRACTOR,,
ID-BRG-0007,KONV-GAL-R024,2026-07-01T09:06:43+07:00,AKT-RAKA,AKT-KIRANA,Nanti aku baca lagi waktu sudah berhenti.,text,,,SYNTHETIC_BRIDGE,,
ID-BRG-0008,KONV-GAL-R024,2026-07-01T09:08:05+07:00,AKT-KIRANA,AKT-RAKA,"Tolong jangan cuma dibaca terus hilang, ya.",text,,,SYNTHETIC_BRIDGE,,
ID-CTX-B-0044,KONV-CTX-MAYA-B14-015,2026-07-01T09:07:26+07:00,AKT-MAYA,AKT-RAKA,Aku cari dulu di situ.,text,,,SYNTHETIC_CONTEXT,,
ID-DST-0770,KONV-DST-NARA-B13-005,2026-07-01T09:09:42+07:00,AKT-NARA,AKT-RAKA,"Eh, aku cuma bilang",text,,,SYNTHETIC_DISTRACTOR,,
ID-BRG-0709,KONV-GAL-R024,2026-07-01T09:11:07+07:00,AKT-RAKA,AKT-KIRANA,Aku baca semuanya. Aku nggak bisa jawab kalau kamu kirim sambil marah begini.,text,,,SYNTHETIC_BRIDGE,,
ID-CTX-B-0045,KONV-CTX-MAYA-B14-015,2026-07-01T09:11:42+07:00,AKT-MAYA,AKT-RAKA,Nggak ada. Mungkin ketutup buku.,text,,,SYNTHETIC_CONTEXT,,
ID-DST-0771,KONV-DST-NARA-B13-005,2026-07-01T09:12:53+07:00,AKT-RAKA,AKT-NARA,"Eh, informasi penting.",text,,,SYNTHETIC_DISTRACTOR,,
ID-BRG-0710,KONV-GAL-R024,2026-07-01T09:13:18+07:00,AKT-KIRANA,AKT-RAKA,Aku marah karena sudah berkali-kali bilang hal yang sama.,text,,,SYNTHETIC_BRIDGE,,
