message_id	old_text	new_text
ID-BRG-1464	iya, bridge nih.	iya, aku tahu maksudmu.
ID-BRG-1344	bentar, bridge kok.	bentar, aku cek petanya dulu.
ID-BRG-1280	bentar, bridge ya.	bentar, aku baca dulu.
ID-BRG-1397	nanti kukabarin, bridge ya.	nanti kukabari kalau ada perubahan.
ID-BRG-1468	iya, bridge dulu.	iya, aku tetap di sini dulu.
ID-BRG-1463	aku pegang HP, bridge nih.	HP masih aku pegang.
ID-BRG-1469	satu menit, bridge dulu.	sebentar, aku coba makan dulu.
ID-BRG-1489	satu menit, bridge kok.	bentar, aku beresin barang dulu.
ID-BRG-1477	bentar, bridge sekarang.	bentar, aku dengar dulu.
ID-BRG-1465	satu menit, bridge nih.	sebentar, aku cek pintu lagi.
ID-BRG-1497	bentar, bridge sebentar.	bentar, aku siapin tas dulu.
ID-BRG-1439	tunggu chatku, bridge ya.	tunggu, aku hitung dulu.
ID-BRG-1483	tunggu chatku, bridge dulu.	tunggu, aku pikir dulu.
ID-BRG-1485	belum selesai, bridge ya.	sebentar, aku cek pintunya.
ID-BRG-1364	bentar, bridge sih.	bentar, hampir selesai.
ID-BRG-1384	bentar, bridge bentar.	bentar, aku baca notifikasinya dulu.
ID-BRG-1459	tunggu chatku, bridge nih.	tunggu, aku cek jadwalku dulu.
ID-BRG-1487	aku pegang HP, bridge dulu.	HP-ku masih nyala di sini.
ID-BRG-1300	bentar, bridge nih.	bentar, aku cek angka tadi.
ID-BRG-1320	bentar, bridge dulu.	bentar, aku beresin dulu.
ID-BRG-1444	iya, bridge ya.	iya, aku tunggu dulu.
ID-BRG-1392	aku pegang HP, bridge ya.	HP-ku masih di tangan.
ID-BRG-1488	iya, bridge kok.	iya, aku cuma memastikan.
ID-BRG-1394	satu menit, bridge ya.	sebentar, aku luruskan ke mereka dulu.
ID-BRG-1453	bentar, bridge barusan.	bentar, sinyalnya putus-putus.
