conversation_id	timestamp	sender_id	message_text
KONV-GAL-R006	2026-07-01T16:06:07+07:00	AKT-RAKA	Aku baru baca. Sekarang belum bisa keluar.
KONV-GAL-R006	2026-07-01T16:08:18+07:00	AKT-KONTAK-5855	Oke, kukira kamu senggang sore ini.
KONV-GAL-R006	2026-07-01T16:11:29+07:00	AKT-RAKA	Belum tentu. Aku kasih kabar kalau sudah jelas.
KONV-GAL-R006	2026-07-01T16:16:40+07:00	AKT-KONTAK-5855	Aku nggak mau ganggu kalau kamu sibuk.
KONV-GAL-R006	2026-07-01T16:17:03+07:00	AKT-RAKA	Nggak apa, chat masih bisa kubaca.
KONV-GAL-R006	2026-07-01T16:21:14+07:00	AKT-KONTAK-5855	Kalau malam berubah pikiran, kabari ya.
KONV-GAL-R006	2026-07-01T16:24:25+07:00	AKT-RAKA	Iya. Jangan tunggu kepastian dari aku sekarang.
KONV-GAL-R006	2026-07-01T16:30:36+07:00	AKT-KONTAK-5855	Oke, aku lanjut urusanku dulu.
KONV-GAL-R007	2026-07-01T19:53:07+07:00	AKT-KONTAK-8794	Tanpa foto aku susah yakin, jujur saja.
KONV-GAL-R007	2026-07-01T19:55:18+07:00	AKT-RAKA	Aku mengerti, tapi aku memang nggak kirim foto lewat sini.
KONV-GAL-R007	2026-07-01T19:58:29+07:00	AKT-KONTAK-8794	Temanku juga minta kepastian sebelum berangkat.
KONV-GAL-R007	2026-07-01T20:03:40+07:00	AKT-RAKA	Kalau begitu kalian bisa putuskan dulu.
KONV-GAL-R007	2026-07-01T20:04:03+07:00	AKT-KONTAK-8794	Aku belum bilang batal, cuma butuh waktu.
KONV-GAL-R007	2026-07-01T20:08:14+07:00	AKT-RAKA	Oke. Jangan kasih nomorku ke orang lain dulu.
KONV-GAL-R007	2026-07-01T20:11:25+07:00	AKT-KONTAK-8794	Iya, aku tunggu jawaban temanku.
KONV-GAL-R007	2026-07-01T20:17:36+07:00	AKT-RAKA	Kabarin kalau sudah ada keputusan, jangan mendadak.
KONV-GAL-R009	2026-07-01T23:49:07+07:00	AKT-RAKA	Aku nggak kirim bukti seperti itu. Kita sudah bicara soal tempat.
KONV-GAL-R009	2026-07-01T23:51:18+07:00	AKT-KONTAK-8721	Aku cuma memastikan sebelum keluar.
KONV-GAL-R009	2026-07-01T23:54:29+07:00	AKT-RAKA	Kalau kamu nggak nyaman, nggak perlu datang.
KONV-GAL-R009	2026-07-01T23:59:40+07:00	AKT-KONTAK-8721	Aku masih di kamar, belum jalan.
KONV-GAL-R009	2026-07-02T00:00:03+07:00	AKT-RAKA	Ya sudah, pikirkan dulu. Aku nggak mau bolak-balik jawab hal sama.
KONV-GAL-R009	2026-07-02T00:04:14+07:00	AKT-KONTAK-8721	Oke. Aku cek sebentar, jangan tutup chat.
