original_line,timestamp_original,sender_original,recipient_original,message_original,conversation_cluster,source_id,source_document,source_page,source_reference,reconstruction_status,confidence,notes
1,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
2,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
3,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
4,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
5,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
6,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
7,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
8,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
9,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
10,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
11,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
12,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
13,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
14,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
15,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
16,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
17,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
18,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
19,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
20,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
21,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
22,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
23,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
24,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
25,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
26,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
27,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
28,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
29,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
30,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
31,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
32,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
33,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
34,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
35,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
36,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
37,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
38,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
39,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
40,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
41,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
42,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
43,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
44,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
45,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
46,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
47,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
48,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
49,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
50,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
51,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
52,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
53,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
54,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
55,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
56,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
57,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
58,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
59,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
60,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
61,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
62,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
63,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
64,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
65,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
66,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
67,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
68,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
69,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
70,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
71,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
72,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
73,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
74,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
75,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
76,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
77,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
78,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
79,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
80,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
81,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
82,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
83,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
84,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
85,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
86,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
87,,,,,,,,,,MISSING_FROM_PUBLIC_RECORD,,
