conversation_id	timestamp	sender_id	message_text
KONV-CTX-REZA-0712-LAGU	2026-07-12T16:14:00+07:00	AKT-REZA	Lagu yang kamu putar kemarin judulnya apa?
KONV-CTX-REZA-0712-LAGU	2026-07-12T16:17:19+07:00	AKT-RAKA	Yang pas lampu merah atau waktu parkir?
KONV-CTX-REZA-0712-LAGU	2026-07-12T16:19:38+07:00	AKT-REZA	Waktu parkir. Ada suara gitar di awal.
KONV-CTX-REZA-0712-LAGU	2026-07-12T16:24:08+07:00	AKT-RAKA	Aku putar acak, harus lihat riwayat dulu.
KONV-CTX-REZA-0712-LAGU	2026-07-12T16:25:27+07:00	AKT-REZA	Nggak buru-buru. Tadi kedengeran di warung jadi inget.
KONV-CTX-REZA-0712-LAGU	2026-07-12T16:29:46+07:00	AKT-RAKA	Bukan lagu baru, kayaknya dari daftar lama.
KONV-CTX-REZA-0712-LAGU	2026-07-12T16:32:16+07:00	AKT-REZA	Kalau ketemu kirim, aku mau dengar utuh.
KONV-CTX-REZA-0712-LAGU	2026-07-12T16:39:35+07:00	AKT-RAKA	Nanti kucari. HP-ku sekarang cuma pegang pesan masuk.
KONV-CTX-REZA-0712-LAGU	2026-07-12T16:41:05+07:00	AKT-REZA	Oke. Aku nggak akan kirim rekaman nyanyianku sebagai petunjuk.
KONV-CTX-REZA-0712-LAGU	2026-07-12T16:45:24+07:00	AKT-RAKA	Syukurlah, itu malah bikin tambah susah 😄
KONV-CTX-RENA-0712-JENDELA	2026-07-12T22:07:00+07:00	AKT-RENA	Angin dari sela jendela berisik sekali.
KONV-CTX-RENA-0712-JENDELA	2026-07-12T22:10:19+07:00	AKT-RAKA	Bunyinya kaca atau engsel?
KONV-CTX-RENA-0712-JENDELA	2026-07-12T22:12:38+07:00	AKT-RENA	Kayak ada plastik kepukul tiap beberapa detik.
KONV-CTX-RENA-0712-JENDELA	2026-07-12T22:17:08+07:00	AKT-RAKA	Tirai dekat situ? Ujungnya mungkin kena bingkai.
