message_id	old_timestamp	new_timestamp	reason
ID-CTX-B-0007	2026-07-04T22:50:45+07:00	2026-07-04T22:46:02+07:00	Double text Tania explaining missing receipt
ID-CTX-B-0008	2026-07-04T22:55:54+07:00	2026-07-04T22:53:16+07:00	Raka responds after another active conversation
ID-CTX-B-0009	2026-07-04T23:00:03+07:00	2026-07-04T22:54:05+07:00	Tania answers from memory
ID-CTX-B-0010	2026-07-04T23:05:12+07:00	2026-07-04T23:04:38+07:00	Raka checks after separate anchor-free exchange
ID-CTX-B-0011	2026-07-04T23:11:21+07:00	2026-07-04T23:05:23+07:00	Initial search of book
ID-CTX-B-0012	2026-07-04T23:16:30+07:00	2026-07-04T23:06:04+07:00	Tania double texts while searching
ID-CTX-B-0013	2026-07-04T23:21:39+07:00	2026-07-04T23:11:41+07:00	Search takes several minutes
ID-CTX-B-0014	2026-07-04T23:26:48+07:00	2026-07-04T23:12:03+07:00	Raka quickly reacts to folded paper
ID-CTX-B-0015	2026-07-04T23:31:57+07:00	2026-07-04T23:12:47+07:00	Tania unfolds receipt
ID-CTX-B-0016	2026-07-04T23:37:06+07:00	2026-07-04T23:16:14+07:00	Raka asks where it was found
ID-CTX-B-0017	2026-07-04T23:42:15+07:00	2026-07-04T23:16:45+07:00	Tania clarifies location
ID-CTX-B-0018	2026-07-04T23:47:24+07:00	2026-07-04T23:17:06+07:00	Immediate embarrassed follow-up
ID-CTX-B-0652	2026-07-12T07:07:32+07:00	2026-07-12T07:06:18+07:00	Brief reply about spare cover
ID-CTX-B-0653	2026-07-12T07:09:39+07:00	2026-07-12T07:06:42+07:00	Maya says she will check shelf
ID-CTX-B-0654	2026-07-12T07:11:46+07:00	2026-07-12T07:09:51+07:00	Physical check of shelf takes time
ID-CTX-B-0655	2026-07-12T07:13:53+07:00	2026-07-12T07:10:12+07:00	Quick follow-up about replacement
ID-CTX-B-0656	2026-07-12T07:15:00+07:00	2026-07-12T07:12:37+07:00	Raka cautions about wet fabric
ID-CTX-B-0657	2026-07-12T07:18:07+07:00	2026-07-12T07:13:23+07:00	Maya puts cover in basket
ID-CTX-B-0658	2026-07-12T07:20:14+07:00	2026-07-12T07:15:29+07:00	Maya reports new cover installed
ID-CTX-B-0659	2026-07-12T07:22:21+07:00	2026-07-12T07:18:11+07:00	Raka responds before later anchor
ID-CTX-B-2719	2026-07-18T17:32:40+07:00	2026-07-18T17:31:09+07:00	Brief reassurance before next anchor at 17:33
ID-CTX-B-2720	2026-07-18T17:34:47+07:00	2026-07-18T17:31:46+07:00	Bagas explains worn lid
ID-CTX-B-2721	2026-07-18T17:36:54+07:00	2026-07-18T17:36:12+07:00	Raka answers after other chat at 17:35
ID-CTX-B-2722	2026-07-18T17:38:01+07:00	2026-07-18T17:37:07+07:00	Bagas gives reason for keeping bottle
ID-CTX-B-2723	2026-07-18T17:41:08+07:00	2026-07-18T17:37:31+07:00	Bagas immediate follow-up
ID-CTX-B-2724	2026-07-18T17:43:15+07:00	2026-07-18T17:40:52+07:00	Bagas interrupted by incoming message
ID-CTX-B-2725	2026-07-18T17:45:22+07:00	2026-07-18T17:41:15+07:00	Bagas immediate interruption note
ID-CTX-B-2726	2026-07-18T17:47:29+07:00	2026-07-18T17:44:51+07:00	Raka answers after other anchor chat at 17:43
ID-CTX-B-2727	2026-07-18T17:49:36+07:00	2026-07-18T17:45:44+07:00	Bagas reports stalled send
ID-CTX-B-2728	2026-07-18T17:52:43+07:00	2026-07-18T17:50:36+07:00	Signal returns after several minutes
ID-CTX-B-2729	2026-07-18T17:54:50+07:00	2026-07-18T17:51:21+07:00	Bagas sees water in bottle
ID-CTX-B-2730	2026-07-18T17:56:57+07:00	2026-07-18T17:57:33+07:00	Raka replies after other anchor chat at 17:56
ID-CTX-B-2731	2026-07-18T17:58:04+07:00	2026-07-18T17:59:22+07:00	Bagas rinses bottle
ID-CTX-B-0446	2026-07-03T07:59:57+07:00	2026-07-03T07:56:42+07:00	Raka responds briefly about room card
ID-CTX-B-0447	2026-07-03T08:03:04+07:00	2026-07-03T07:57:18+07:00	Reza is packing before handing over card
