baris_exhibit1a,status_doc547,source_id,sumber_kerja,catatan
1,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
2,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
3,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
4,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
5,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
6,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
7,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
8,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
9,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
10,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
11,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
12,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
13,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
14,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
15,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
16,BELUM_TERPETAKAN,SRC-001,Document 547 Galloway.md,"AMBIGU_JUMLAH_PESAN"
17,BELUM_TERPETAKAN,SRC-001,Document 547 Galloway.md,"AMBIGU_JUMLAH_PESAN"
18,BELUM_TERPETAKAN,SRC-001,Document 547 Galloway.md,"AMBIGU_JUMLAH_PESAN"
19,BELUM_TERPETAKAN,SRC-001,Document 547 Galloway.md,"AMBIGU_JUMLAH_PESAN"
20,BELUM_TERPETAKAN,SRC-001,Document 547 Galloway.md,"AMBIGU_JUMLAH_PESAN"
21,BELUM_TERPETAKAN,SRC-001,Document 547 Galloway.md,"AMBIGU_JUMLAH_PESAN"
22,BELUM_TERPETAKAN,SRC-001,Document 547 Galloway.md,"AMBIGU_JUMLAH_PESAN"
23,BELUM_TERPETAKAN,SRC-001,Document 547 Galloway.md,"AMBIGU_JUMLAH_PESAN"
24,BELUM_TERPETAKAN,SRC-001,Document 547 Galloway.md,"AMBIGU_JUMLAH_PESAN"
25,BELUM_TERPETAKAN,SRC-001,Document 547 Galloway.md,"AMBIGU_JUMLAH_PESAN"
26,BELUM_TERPETAKAN,SRC-001,Document 547 Galloway.md,"AMBIGU_JUMLAH_PESAN"
27,BELUM_TERPETAKAN,SRC-001,Document 547 Galloway.md,"TIDAK_DISEBUT_DOC547"
28,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
29,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
30,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
31,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
32,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
33,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
34,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
35,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
36,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
37,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
38,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
39,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
40,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
41,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
42,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
43,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
44,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
45,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
46,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
47,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
48,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
49,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
50,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
51,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
52,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
53,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
54,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
55,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
56,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
57,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
58,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
59,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
60,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
61,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
62,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
63,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
64,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
65,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
66,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
67,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
68,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
69,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
70,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
71,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
72,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
73,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
