source_id,source_type,title,case_or_origin,document_id,url_or_locator,access_date,scope,contains_sensitive_material,allowed_use,notes
SRC-001,COURT_RECORD,Findings of Fact and Conclusions of Law Regarding Statements of Co-Conspirators,United States of America v. Matthew Woods / No. 17-CR-1235-WJ,Document 547,Document 547 Galloway.md (sumber kerja kanonik),2026-09-23,source_reconstruction,YES,restricted_local_research,"Sumber kerja kanonik untuk ekstraksi P1; SHA-256 195a880e87f59d882e70c16b4c42a9df23a0eaec547b928f1ad1a9afae4ae889; 1014 baris; mempertahankan penanda halaman, heading, bold/underline, dan referensi Exhibit 1A. PDF sebelumnya dipertahankan hanya sebagai arsip/verifikasi, bukan sumber kerja utama."
SRC-002,ACADEMIC_PAPER,ForensicLLM: A local large language model for digital forensics,Sharma et al. 2025,DOI:10.1016/j.fsidi.2025.301872,local_reference,2026-09-23,methodology,NO,public_method_reference,
SRC-003,ACADEMIC_PAPER,SOLVE-IT: A proposed digital forensic knowledge base inspired by MITRE ATT&CK,Hargreaves et al. 2025,DOI:10.1016/j.fsidi.2025.301864,local_reference,2026-09-23,error_mitigation,NO,public_method_reference,
SRC-004,STANDARD_GUIDANCE,Guidelines on Mobile Device Forensics,NIST,SP 800-101 Rev. 1,https://doi.org/10.6028/NIST.SP.800-101r1,2026-09-24,mobile_forensic_workflow,NO,public_method_reference,"Validation, preservation, acquisition, examination, analysis, and reporting guidance for mobile-device forensics."
SRC-005,STANDARD_GUIDANCE,Guide to Integrating Forensic Techniques into Incident Response,NIST,SP 800-86,https://doi.org/10.6028/NIST.SP.800-86,2026-09-24,forensic_process,NO,public_method_reference,"Process guidance used to structure collection/examination/analysis/reporting and documentation of limitations."
SRC-006,STANDARD_GUIDANCE,Requirements for Report Writing in Digital and Multimedia Forensics,SWGDE,18-Q-002,https://www.swgde.org/documents/published-complete-listing/18-q-002-swgde-requirements-for-report-writing-in-digital-and-multimedia-forensics/,2026-09-24,reporting,NO,public_method_reference,"Minimum elements for digital forensic examination reports: request/scope, authority, submitted items, processes/results, supporting data, conclusions, disposition, authorization."
SRC-007,REFERENCE_DATASET_GUIDANCE,Computer Forensic Reference Data Sets (CFReDS),NIST,CFReDS,https://www.nist.gov/programs-projects/computer-forensic-reference-data-sets,2026-09-24,ground_truth_validation,NO,public_method_reference,"Documented simulated digital evidence used to compare examiner/tool results with known seeded contents; supports the LIBERA synthetic-ground-truth evaluation design."
SRC-008,ACADEMIC_PAPER,The role of evaluations in reaching decisions using automated systems supporting forensic analysis,Bolle et al. 2020,DOI:10.1016/j.fsidi.2020.301016,https://doi.org/10.1016/j.fsidi.2020.301016,2026-09-24,evaluation_metrics,NO,public_method_reference,"Discusses TP/TN/FP/FN, accuracy, precision, recall and F1 for forensic automated-system evaluation and cautions that metric meaning depends on the forensic task."
SRC-009,OFFICIAL_CASE_OUTCOME,Man from Albuquerque pleads guilty to federal sex trafficking charge,U.S. Attorney District of New Mexico,20-047,https://www.justice.gov/usao-nm/pr/man-albuquerque-pleads-guilty-federal-sex-trafficking-charge,2026-09-24,ground_truth_case_resolution,YES,public_method_reference,"Cornelius Galloway admitted participation in a sex-trafficking ring, including online advertising, hotel rooms, phone-arranged appointments, coercion/control and taking proceeds."
SRC-010,OFFICIAL_CASE_OUTCOME,Man from Albuquerque sentenced to 17 years on federal sex trafficking charges,U.S. Attorney District of New Mexico,20-128,https://www.justice.gov/usao-nm/pr/man-albuquerque-pleads-guilty-federal-sex-trafficking-charge-0,2026-09-24,ground_truth_case_resolution,YES,public_method_reference,"Documents final 17-year sentence after Galloway guilty plea; used only as evaluator-side case-resolution reference, not as evidence available to blinded examiner."
