conversation_id	timestamp	sender_id	message_text
KONV-DST-DINI-0701-NAMA	2026-07-01T20:12:09+07:00	AKT-DINI	Aku lihat merek keripik namanya hampir sama kayak namamu.
KONV-DST-DINI-0701-NAMA	2026-07-01T20:14:26+07:00	AKT-RAKA	Raka apa? Keripik Raka?
KONV-DST-DINI-0701-NAMA	2026-07-01T20:18:43+07:00	AKT-DINI	Bukan, 'Raku'. Huruf terakhirnya beda.
KONV-DST-DINI-0701-NAMA	2026-07-01T20:21:11+07:00	AKT-RAKA	Berarti bukan hampir sama, itu sudah nama lain.
KONV-DST-DINI-0701-NAMA	2026-07-01T20:27:28+07:00	AKT-DINI	Warnanya merah, tulisannya gede. Aku tadi refleks nengok.
KONV-DST-DINI-0701-NAMA	2026-07-01T20:28:45+07:00	AKT-RAKA	Kalau enak boleh kau sebut namaku.
KONV-DST-DINI-0701-NAMA	2026-07-01T20:33:13+07:00	AKT-DINI	Kalau pedes, aku panggil dia Raku saja.
KONV-DST-DINI-0701-NAMA	2026-07-01T20:35:30+07:00	AKT-RAKA	Sepakat. Aku tidak menanggung keluhan perut.
KONV-DST-DINI-0701-NAMA	2026-07-01T20:38:47+07:00	AKT-DINI	Belum kubeli, cuma lihat. Kamu sudah bikin aturan duluan.
KONV-DST-DINI-0701-NAMA	2026-07-01T20:45:15+07:00	AKT-RAKA	Lebih aman sejak awal.
KONV-DST-REZA-0703-KACA	2026-07-03T21:17:09+07:00	AKT-REZA	Aku coba selfie di kaca mobil, muka jadi panjang.
KONV-DST-REZA-0703-KACA	2026-07-03T21:19:26+07:00	AKT-RAKA	Kacanya melengkung sedikit, jelas beda.
KONV-DST-REZA-0703-KACA	2026-07-03T21:23:43+07:00	AKT-REZA	Aku kirim ke Dini, dia nanya aku kena sengat lebah.
KONV-DST-REZA-0703-KACA	2026-07-03T21:26:11+07:00	AKT-RAKA	Jangan kirim selfie dari kaca itu lagi.
KONV-DST-REZA-0703-KACA	2026-07-03T21:32:28+07:00	AKT-REZA	Sekarang dia minta versi yang lebih panjang.
KONV-DST-REZA-0703-KACA	2026-07-03T21:33:45+07:00	AKT-RAKA	Dia sedang ngeledek kamu.
KONV-DST-REZA-0703-KACA	2026-07-03T21:38:13+07:00	AKT-REZA	Aku tahu. Aku pura-pura serius kasih sudut lain.
KONV-DST-REZA-0703-KACA	2026-07-03T21:40:30+07:00	AKT-RAKA	Jadi makin panjang?
KONV-DST-REZA-0703-KACA	2026-07-03T21:43:47+07:00	AKT-REZA	Enggak, kepalaku malah kecil. Aku berhenti.
KONV-DST-REZA-0703-KACA	2026-07-03T21:50:15+07:00	AKT-RAKA	Akhirnya keputusan bijak.
KONV-DST-CACA-0705-SANDI	2026-07-05T20:22:09+07:00	AKT-CACA	Aku salah baca tulisan di cangkir. Kupikir 'selamat pagi'.
KONV-DST-CACA-0705-SANDI	2026-07-05T20:24:26+07:00	AKT-RAKA	Memangnya apa?
KONV-DST-CACA-0705-SANDI	2026-07-05T20:28:43+07:00	AKT-CACA	'Selamat pergi'. Aneh banget buat cangkir.
KONV-DST-CACA-0705-SANDI	2026-07-05T20:31:11+07:00	AKT-RAKA	Mungkin huruf 'a'-nya luntur.
KONV-DST-CACA-0705-SANDI	2026-07-05T20:37:28+07:00	AKT-CACA	Aku cek, semua huruf jelas. Mungkin hadiah perpisahan.
KONV-DST-CACA-0705-SANDI	2026-07-05T20:38:45+07:00	AKT-RAKA	Minumnya jadi terasa diusir.
KONV-DST-CACA-0705-SANDI	2026-07-05T20:43:13+07:00	AKT-CACA	Iya, aku taruh menghadap tembok sekarang.
KONV-DST-CACA-0705-SANDI	2026-07-05T20:45:30+07:00	AKT-RAKA	Cangkirnya nggak bisa lihat kamu pergi.
KONV-DST-CACA-0705-SANDI	2026-07-05T20:48:47+07:00	AKT-CACA	Bukan itu maksudku 😂
KONV-DST-CACA-0705-SANDI	2026-07-05T20:55:15+07:00	AKT-RAKA	Aku tahu. Tapi tulisannya tetap lucu.
KONV-DST-DINI-0707-BAJU	2026-07-07T14:37:09+07:00	AKT-DINI	Aku lihat kaos dengan gambar telur pakai kacamata.
KONV-DST-DINI-0707-BAJU	2026-07-07T14:39:26+07:00	AKT-RAKA	Itu desain serius?
KONV-DST-DINI-0707-BAJU	2026-07-07T14:43:43+07:00	AKT-DINI	Serius dijual, harganya lebih mahal dari kaos polos.
KONV-DST-DINI-0707-BAJU	2026-07-07T14:46:11+07:00	AKT-RAKA	Telurnya kelihatan pintar?
KONV-DST-DINI-0707-BAJU	2026-07-07T14:52:28+07:00	AKT-DINI	Kelihatan kurang tidur. Kacamatanya miring.
KONV-DST-DINI-0707-BAJU	2026-07-07T14:53:45+07:00	AKT-RAKA	Mungkin cocok buat Reza saat bangun pagi.
KONV-DST-DINI-0707-BAJU	2026-07-07T14:58:13+07:00	AKT-DINI	Jangan, nanti dia minta dibelikan.
KONV-DST-DINI-0707-BAJU	2026-07-07T15:00:30+07:00	AKT-RAKA	Foto saja buat bahan ngeledek, jangan kirim harga.
KONV-DST-DINI-0707-BAJU	2026-07-07T15:03:47+07:00	AKT-DINI	Aku sudah foto, tapi ada orang lewat jadi buram.
KONV-DST-DINI-0707-BAJU	2026-07-07T15:10:15+07:00	AKT-RAKA	Biarkan telurnya tetap misterius.
KONV-DST-BAGAS-0710-KATA	2026-07-10T22:36:09+07:00	AKT-BAGAS	Aku ketik 'jamur', autocorrect jadi 'jamur?' pakai tanda tanya.
KONV-DST-BAGAS-0710-KATA	2026-07-10T22:38:26+07:00	AKT-RAKA	HP-mu juga ragu sama jamur.
KONV-DST-BAGAS-0710-KATA	2026-07-10T22:42:43+07:00	AKT-BAGAS	Aku lagi bikin daftar belanja, bukan nanya ke dia.
KONV-DST-BAGAS-0710-KATA	2026-07-10T22:45:11+07:00	AKT-RAKA	Tanda tanyanya bisa dihapus.
KONV-DST-BAGAS-0710-KATA	2026-07-10T22:51:28+07:00	AKT-BAGAS	Sudah, tapi dia ganti lagi tiap kutulis.
KONV-DST-BAGAS-0710-KATA	2026-07-10T22:52:45+07:00	AKT-RAKA	Tulis 'cendawan' biar dia bingung.
KONV-DST-BAGAS-0710-KATA	2026-07-10T22:57:13+07:00	AKT-BAGAS	Lebih repot menjelaskan ke orang yang baca.
KONV-DST-BAGAS-0710-KATA	2026-07-10T22:59:30+07:00	AKT-RAKA	Benar juga. Pakai huruf besar semua?
KONV-DST-BAGAS-0710-KATA	2026-07-10T23:02:47+07:00	AKT-BAGAS	JAMUR. Nah, berhasil.
KONV-DST-BAGAS-0710-KATA	2026-07-10T23:09:15+07:00	AKT-RAKA	Kemenangan kecil hari ini.
KONV-DST-RENA-0712-STIKER	2026-07-12T14:48:09+07:00	AKT-RENA	Stiker katak ini ekspresinya kayak nahan bersin.
KONV-DST-RENA-0712-STIKER	2026-07-12T14:50:26+07:00	AKT-RAKA	Yang hidungnya besar itu?
KONV-DST-RENA-0712-STIKER	2026-07-12T14:54:43+07:00	AKT-RENA	Iya, matanya setengah tertutup.
KONV-DST-RENA-0712-STIKER	2026-07-12T14:57:11+07:00	AKT-RAKA	Kirim. Aku mau lihat.
KONV-DST-RENA-0712-STIKER	2026-07-12T15:03:28+07:00	AKT-RENA	Sudah, tapi dia muncul dua kali. Salah tap.
KONV-DST-RENA-0712-STIKER	2026-07-12T15:04:45+07:00	AKT-RAKA	Sekarang kayak bersin dua kali.
KONV-DST-RENA-0712-STIKER	2026-07-12T15:09:13+07:00	AKT-RENA	Hahaha, satu saja sudah cukup.
KONV-DST-RENA-0712-STIKER	2026-07-12T15:11:30+07:00	AKT-RAKA	Biarkan, chat ini lebih lucu begitu.
KONV-DST-RENA-0712-STIKER	2026-07-12T15:14:47+07:00	AKT-RENA	Kalau ada yang tanya, bilang kataknya saudara kembar.
KONV-DST-RENA-0712-STIKER	2026-07-12T15:21:15+07:00	AKT-RAKA	Aku siap jadi saksi ahli katak.
