conversation_id	timestamp	sender_id	recipient_id	message_text
KONV-DST-DINI-0703	2026-07-03T11:03:14+07:00	AKT-DINI	AKT-RAKA	Aku nemu stiker ikan di belakang HP-mu. Dari kapan ada itu?
KONV-DST-DINI-0703	2026-07-03T11:06:39+07:00	AKT-RAKA	AKT-DINI	Hah, stiker yang mana? Aku nggak pernah pasang ikan.
KONV-DST-DINI-0703	2026-07-03T11:09:05+07:00	AKT-DINI	AKT-RAKA	Yang kecil, warnanya oranye. Kayaknya nempel dari meja.
KONV-DST-DINI-0703	2026-07-03T11:12:47+07:00	AKT-RAKA	AKT-DINI	Jangan dicabut dulu, penasaran siapa yang iseng.
KONV-DST-DINI-0703	2026-07-03T11:15:18+07:00	AKT-DINI	AKT-RAKA	Aku foto dulu, nanti kamu lihat sendiri wkwk.
KONV-DST-DINI-0703	2026-07-03T11:18:52+07:00	AKT-RAKA	AKT-DINI	Kalau ternyata gambar wortel, aku protes.
KONV-DST-DINI-0703	2026-07-03T11:21:26+07:00	AKT-DINI	AKT-RAKA	Bukan wortel. Ada mata sama siripnya jelas.
KONV-DST-DINI-0703	2026-07-03T11:24:33+07:00	AKT-RAKA	AKT-DINI	Ya sudah, biarin jadi penanda HP-ku.
KONV-DST-DINI-0703	2026-07-03T11:28:07+07:00	AKT-DINI	AKT-RAKA	Nanti kalau hilang tinggal cari ikan oranye itu.
KONV-DST-DINI-0703	2026-07-03T11:31:49+07:00	AKT-RAKA	AKT-DINI	Hahaha, jangan sengaja disembunyiin buat ngetes.
KONV-DST-CACA-0710	2026-07-10T14:03:22+07:00	AKT-CACA	AKT-RAKA	Tadi aku salah pencet alarm jam enam pagi jadi jam enam sore.
KONV-DST-CACA-0710	2026-07-10T14:06:41+07:00	AKT-RAKA	AKT-CACA	Masih untung sadar sebelum sore. Bunyi apa alarmnya?
KONV-DST-CACA-0710	2026-07-10T14:09:15+07:00	AKT-CACA	AKT-RAKA	Nada lama yang kayak bel sepeda, kencang banget.
KONV-DST-CACA-0710	2026-07-10T14:12:57+07:00	AKT-RAKA	AKT-CACA	Pakai nada lain lah, aku ikut kaget tiap dengar.
KONV-DST-CACA-0710	2026-07-10T14:16:04+07:00	AKT-CACA	AKT-RAKA	Justru kalau pelan aku nggak bangun.
KONV-DST-CACA-0710	2026-07-10T14:20:23+07:00	AKT-RAKA	AKT-CACA	Ya volumenya jangan maksimal juga.
KONV-DST-CACA-0710	2026-07-10T14:23:48+07:00	AKT-CACA	AKT-RAKA	Sudah kuturunin satu garis. Kompromi nih.
KONV-DST-CACA-0710	2026-07-10T14:27:09+07:00	AKT-RAKA	AKT-CACA	Satu garis doang? Ya terserah telingamu.
KONV-DST-CACA-0710	2026-07-10T14:30:51+07:00	AKT-CACA	AKT-RAKA	Besok kalau aku kebablasan tidur jangan disalahin.
KONV-DST-CACA-0710	2026-07-10T14:33:16+07:00	AKT-RAKA	AKT-CACA	Setel dua alarm kalau begitu, biar aman.
KONV-DST-REZA-0717	2026-07-17T10:11:34+07:00	AKT-REZA	AKT-RAKA	Ada yang tahu kenapa tanaman kecil di pojok miring?
KONV-DST-REZA-0717	2026-07-17T10:14:02+07:00	AKT-RAKA	AKT-REZA	Yang potnya putih? Kena angin dari jendela mungkin.
KONV-DST-REZA-0717	2026-07-17T10:17:47+07:00	AKT-REZA	AKT-RAKA	Jendelanya tutup. Tanahnya masih basah pula.
KONV-DST-REZA-0717	2026-07-17T10:20:28+07:00	AKT-RAKA	AKT-REZA	Coba putar potnya, siapa tahu condong cari cahaya.
KONV-DST-REZA-0717	2026-07-17T10:24:11+07:00	AKT-REZA	AKT-RAKA	Aku geser sedikit. Daunnya kena tirai kalau dibiarkan.
KONV-DST-REZA-0717	2026-07-17T10:27:56+07:00	AKT-RAKA	AKT-REZA	Jangan terlalu sering disiram. Kemarin masih lembap.
KONV-DST-REZA-0717	2026-07-17T10:31:19+07:00	AKT-REZA	AKT-RAKA	Bukan aku yang nyiram hari ini, sumpah.
KONV-DST-REZA-0717	2026-07-17T10:35:03+07:00	AKT-RAKA	AKT-REZA	Tenang, aku cuma bilang tanahnya belum kering.
KONV-DST-REZA-0717	2026-07-17T10:39:42+07:00	AKT-REZA	AKT-RAKA	Oke. Aku taruh agak jauh dari tirai.
KONV-DST-REZA-0717	2026-07-17T10:43:16+07:00	AKT-RAKA	AKT-REZA	Sip, nanti kita lihat masih miring nggak.
