message_id	message_text
ID-CTX-B-2149	HP yang alarmnya bunyi tadi ada di dekatmu?
ID-CTX-B-2150	Nggak. HP-ku di sini, yang bunyi mungkin punyamu.
ID-CTX-B-2151	Oh, iya. Nggak kelihatan di meja.
ID-CTX-B-2152	Kucari di tas dulu.
ID-CTX-B-2153	Ketemu. Nyangkut di saku kecil tas.
ID-DST-0738	Eh, nama Wi-Fi yang tadi muncul lagi di HP ini.
ID-CTX-B-2154	Alarmnya sudah dimatikan?
ID-DST-0739	Nama yang mana? Jaringan sebelah?
ID-DST-0740	Iya, yang sinyalnya lemah itu.
ID-DST-0741	Aku cuma heran kenapa hilang muncul terus.
ID-DST-0742	Mungkin posisimu dekat batas jangkauannya.
ID-DST-0743	Bisa jadi. Dari kamar tadi malah nggak terlihat.
ID-DST-0744	Udah, nggak usah disambungkan.
ID-DST-0745	Iya. Pakai jaringan yang biasa aja.
ID-DST-0746	Sekarang muncul lagi pas aku pindah ke dekat pintu.
ID-DST-0747	Berarti memang posisinya yang ngaruh.
ID-DST-0748	Ya sudah, kubiarkan. Alarmnya juga sudah beres.
ID-DST-0811	Kepitingnya kelihatan galak?
ID-CTX-A-2840	Aku cek lagi tulisannya sebelum kukirim.
ID-CTX-A-2842	Versi baru sudah kukirim. Cek jumlahnya, ya.
